id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1541484403377184768,1541484403377184768,2022-06-28 02:11:35 WITA,2022-06-28,02:11:35,+0800,80323736,ridwankamil,Ridwan Kamil,,"Alhamdulillah Berkesempatan menyapa Calon Haji Kloter 34 asal Jabar di UPT Asrama Haji Bekasi, sekaligus memberikan arahan &amp; semangat kepada para jemaah. Insyaallah menjadi haji &amp; hajjah yg mabrur &amp; mabrurah. Aamiin. #JabarJuara #IndonesiaJuara -admin-  https://t.co/AG6NSL5qr5",in,[],[],"['https://pbs.twimg.com/media/FWRz0UyaIAItQa2.jpg', 'https://pbs.twimg.com/media/FWRz0UyaIAADKAG.jpg', 'https://pbs.twimg.com/media/FWRz0UzacAAPVza.jpg', 'https://pbs.twimg.com/media/FWRz0UuaAAAeXIF.jpg']",29,42,1040,"['jabarjuara', 'indonesiajuara']",[],https://twitter.com/ridwankamil/status/1541484403377184768,False,,1,https://pbs.twimg.com/media/FWRz0UyaIAItQa2.jpg,,,,,,,[],,,,
1541366360798035968,1541366300374892544,2022-06-27 18:22:32 WITA,2022-06-27,18:22:32,+0800,80323736,ridwankamil,Ridwan Kamil,,"Insya Allah pergi selamat dan pulang kembali juga selamat, dan menjadi Haji dan Hajjah yang mabrur dan mabrurah.   Aamiin.  #JabarJuara #IndonesiaJuara  https://t.co/EByM7QdArG",in,[],[],['https://pbs.twimg.com/media/FWQIh-vaAAE2png.jpg'],10,14,445,"['jabarjuara', 'indonesiajuara']",[],https://twitter.com/ridwankamil/status/1541366360798035968,False,,1,https://pbs.twimg.com/media/FWQIh-vaAAE2png.jpg,,,,,,,[],,,,
1541366348076716033,1541366300374892544,2022-06-27 18:22:29 WITA,2022-06-27,18:22:29,+0800,80323736,ridwankamil,Ridwan Kamil,,"Alhamdulillah tahun ini Allah berikan kemudahan. Lokasi penginapan jemaah haji Jabar hanya berjarak maksimum 1,500 m dari Masjidil Haram &amp; Kabah.  Tadi pagi melepas keberangkatan rombongan haji Jabar di embarkasi kota Bekasi sekaligus memberi arahan &amp; semangat kpd para jemaah.  https://t.co/Fwar1hEgxJ",in,[],[],"['https://pbs.twimg.com/media/FWQIhEkagAAglUV.jpg', 'https://pbs.twimg.com/media/FWQIhEwaAAEpGio.jpg']",5,13,466,[],[],https://twitter.com/ridwankamil/status/1541366348076716033,False,,1,https://pbs.twimg.com/media/FWQIhEkagAAglUV.jpg,,,,,,,[],,,,
1541366331454689280,1541366300374892544,2022-06-27 18:22:25 WITA,2022-06-27,18:22:25,+0800,80323736,ridwankamil,Ridwan Kamil,,"17,000an jemaah haji Jawa Barat berangkat tahun ini. Pemprov Jawa Barat berusaha melayani dengan semaksimal mungkin kepada jemaah haji agar aman dan nyaman saat menunaikan ibadah haji disana. #JabarJuara #IndonesiaJuara  https://t.co/syBndKIUSw",in,[],[],['https://pbs.twimg.com/media/FWQIgKvaAAAkdyi.jpg'],2,7,187,"['jabarjuara', 'indonesiajuara']",[],https://twitter.com/ridwankamil/status/1541366331454689280,False,,1,https://pbs.twimg.com/media/FWQIgKvaAAAkdyi.jpg,,,,,,,[],,,,
1541366315621191681,1541366300374892544,2022-06-27 18:22:21 WITA,2022-06-27,18:22:21,+0800,80323736,ridwankamil,Ridwan Kamil,,Karenanya bersyukurlah yang bisa berhaji di tahun 2022 ini. Dan janganlah menunggu tua untuk berhaji jika rejeki dan kesempatan bisa pergi saat usia muda itu ada. #JabarJuara #IndonesiaJuara  https://t.co/GxXDmY3efi,in,[],[],['https://pbs.twimg.com/media/FWQIfP1aAAEgvc_.jpg'],5,12,264,"['jabarjuara', 'indonesiajuara']",[],https://twitter.com/ridwankamil/status/1541366315621191681,False,,1,https://pbs.twimg.com/media/FWQIfP1aAAEgvc_.jpg,,,,,,,[],,,,
1541366300374892544,1541366300374892544,2022-06-27 18:22:17 WITA,2022-06-27,18:22:17,+0800,80323736,ridwankamil,Ridwan Kamil,,"Ngantri 32 tahun adalah waktu antrian menunggu untuk berhaji jika mendaftar sekarang. Sungguh waktu penantian yang begitu panjang. Karena kuota terbatas, Sementara yang ingin berhaji banyak sekali. #JabarJuara #IndonesiaJuara  https://t.co/JavanV2wn6",in,[],[],[],61,181,2025,"['jabarjuara', 'indonesiajuara']",[],https://twitter.com/ridwankamil/status/1541366300374892544,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1541366136209829890/pu/img/o__f3hQ3rrzB7z-r.jpg,,,,,,,[],,,,
1541355253916139520,1541355224535044096,2022-06-27 17:38:24 WITA,2022-06-27,17:38:24,+0800,80323736,ridwankamil,Ridwan Kamil,,"Jagalah alam kita, karena alam akan balik menjaga kita.  Tetap semangat dalam menata dan membangun masa depan yang lebih baik, aman dan sejahtera.  Hatur Nuhun.  #JabarJuara #IndonesiaJuara  https://t.co/e04zIszUFq",in,[],[],['https://pbs.twimg.com/media/FWP-bcpaMAAaLNw.jpg'],6,11,236,"['jabarjuara', 'indonesiajuara']",[],https://twitter.com/ridwankamil/status/1541355253916139520,False,,1,https://pbs.twimg.com/media/FWP-bcpaMAAaLNw.jpg,,,,,,,[],,,,
1541355238766313472,1541355224535044096,2022-06-27 17:38:20 WITA,2022-06-27,17:38:20,+0800,80323736,ridwankamil,Ridwan Kamil,,"Turut berduka cita kepada sebagian korban yang meninggal dunia. Insya Allah negara selalu hadir dalam proses tanggap darurat dan rekonstruksi kehidupan mereka semua.  Bencana boleh datang silih berganti, namun semangat kemanusiaan kita tidak boleh hilang dan mati.  #JabarJuara  https://t.co/2SOuuzbrQq",in,[],[],['https://pbs.twimg.com/media/FWP-ajbakAIeNll.jpg'],6,12,268,['jabarjuara'],[],https://twitter.com/ridwankamil/status/1541355238766313472,False,,1,https://pbs.twimg.com/media/FWP-ajbakAIeNll.jpg,,,,,,,[],,,,
1541355224535044096,1541355224535044096,2022-06-27 17:38:17 WITA,2022-06-27,17:38:17,+0800,80323736,ridwankamil,Ridwan Kamil,,"Inspeksi, koordinasi dan membersamai para korban banjir bandang di Kecamatan Pamijahan dan Leuwiliang di Kab Bogor di Minggu pagi.  Sekaligus memberikan dana bantuan dari Pemprov Jabar untuk tahap tanggap darurat ini.  #JabarJuara #IndonesiaJuara  https://t.co/m27df1uaFu",in,[],[],[],13,35,525,"['jabarjuara', 'indonesiajuara']",[],https://twitter.com/ridwankamil/status/1541355224535044096,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1541354745939763201/pu/img/DoFDKp4Ww-GX6zXF.jpg,,,,,,,[],,,,
1540950451499454466,1540950429764587521,2022-06-26 14:49:51 WITA,2022-06-26,14:49:51,+0800,80323736,ridwankamil,Ridwan Kamil,,"Suatu hari nanti, semoga kopi-kopi terbaik ini akan menguasai dunia melalui coffee diplomacy.  Hatur Nuhun.  https://t.co/KOR6GTE20L",in,[],[],"['https://pbs.twimg.com/media/FWKOQW0akAAzpni.jpg', 'https://pbs.twimg.com/media/FWKOQXZaAAEWtE3.jpg', 'https://pbs.twimg.com/media/FWKOQXlaQAEnxAJ.jpg', 'https://pbs.twimg.com/media/FWKOQX6acAEN4SM.jpg']",24,39,836,[],[],https://twitter.com/ridwankamil/status/1540950451499454466,False,,1,https://pbs.twimg.com/media/FWKOQW0akAAzpni.jpg,,,,,,,[],,,,
1540950429764587521,1540950429764587521,2022-06-26 14:49:46 WITA,2022-06-26,14:49:46,+0800,80323736,ridwankamil,Ridwan Kamil,,"Di negeri Cappucino, tim Pemprov Jabar meluaskan pasar kopi Jabar agar terus mendunia. Di pameran kopi dunia di Milan.  “I like it. You make a lot of people happy with their first time Liberica,” kata si Teteh, sebut saja Mawar yg  mencoba salah satu kopi terbaik yg kami bawa.  https://t.co/IqJLXr8l7b",in,[],[],[],49,135,1536,[],[],https://twitter.com/ridwankamil/status/1540950429764587521,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1540950167767363584/pu/img/2qyjlmyT8OytADY-.jpg,,,,,,,[],,,,
1540893512111357952,1540893512111357952,2022-06-26 11:03:36 WITA,2022-06-26,11:03:36,+0800,80323736,ridwankamil,Ridwan Kamil,,"Buat warga Jawa Barat dan seluruh Indonesia yang kreatif serta jago gambar. Ikuti ""Jabart Drawing Competition 2022"" in Collaboration with Wacom. Peserta yang lolos kurasi akan langsung dinilai oleh saya.  Link pendaftaran :  https://t.co/qTbrP5z7vX  https://t.co/z3phNjEE2t",in,[],['https://bit.ly/JabartDrawing2022'],[],49,244,2029,[],[],https://twitter.com/ridwankamil/status/1540893512111357952,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1540893431085801474/pu/img/BJSC2TYtnWFRgVPq.jpg,,,,,,,[],,,,
1540682674897141765,1540682468579127297,2022-06-25 21:05:48 WITA,2022-06-25,21:05:48,+0800,80323736,ridwankamil,Ridwan Kamil,,Terima kasih kpd semua sahabat/teman Eril &amp; masyarakat yg ikut Gerakan Berbagi Kebaikan &amp; Keberkahan di hari ini.  Terima kasih kepada mereka yg mencipta banyak lagu tentang Eril &amp; puluhan puisi dari mereka yg menyayangi Eril. Suatu saat nanti saya akan menyapa satu persatu. 🙏🙏  https://t.co/ymUQpZZKRD,in,[],[],[],40,166,3158,[],[],https://twitter.com/ridwankamil/status/1540682674897141765,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1540682481015349248/pu/img/HKZ0yFl81QGwT7g0.jpg,,,,,,,[],,,,
1540682468579127297,1540682468579127297,2022-06-25 21:04:59 WITA,2022-06-25,21:04:59,+0800,80323736,ridwankamil,Ridwan Kamil,,"HBD A Eril, banyak yg kasih hadiah istimewa di hari lahirmu.  Mas Bony S &amp; friends bikin khusus animasi tentangmu &amp; bunga di surga.   Bang Abdul Like Coffee spesial bikin lagu mengenangmu “You will always be my home”. A very beautiful song.  Kang Teguh bikin editannya keren.  https://t.co/zXxQPIWobY",in,[],[],[],179,1532,14980,[],[],https://twitter.com/ridwankamil/status/1540682468579127297,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1540682324861403136/pu/img/zxbdENag_fjTIV8A.jpg,,,,,,,[],,,,
1540241199931756544,1540241199931756544,2022-06-24 15:51:33 WITA,2022-06-24,15:51:33,+0800,80323736,ridwankamil,Ridwan Kamil,,"108 pemuda pemudi hebat. Dari 2032 pendaftar, saya lantik &amp; kukuhkan jadi Duta Pariwisata Jabar atau SWJ Ambassador.  Tugasnya promosi &amp; mengedukasi pariwisata di IG, Twitter dll sambil healing &amp; merekam berbagai tempat keren di Provinsi yg indah ini. #JabarJuara #IndonesiaJuara  https://t.co/cM3LJbOWWi",in,[],[],[],33,73,1193,"['jabarjuara', 'indonesiajuara']",[],https://twitter.com/ridwankamil/status/1540241199931756544,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1540240995979509761/pu/img/v4EykaTFY-tHMll7.jpg,,,,,,,[],,,,
1540185398122528768,1540185378111557633,2022-06-24 12:09:48 WITA,2022-06-24,12:09:48,+0800,80323736,ridwankamil,Ridwan Kamil,,"Ini adalah investasi. Panennya Insya Allah akan hadir di masa mendatang, dengan munculnya individu-individu dengan karya-karya yang juara.  Sebuah cetak biru yang membawa Jabar juara dalam ekonomi kreatif yg membawa kesejahteraan rakyat dgn cara baru.  #JabarJuara #IndonesiaJuara  https://t.co/oC7E9Q5czd",in,[],[],"['https://pbs.twimg.com/media/FV_WdLwWIAIXjc7.jpg', 'https://pbs.twimg.com/media/FV_WdMHWYAEya6Q.jpg', 'https://pbs.twimg.com/media/FV_WdMYWQAAjqX6.jpg']",3,15,298,"['jabarjuara', 'indonesiajuara']",[],https://twitter.com/ridwankamil/status/1540185398122528768,False,,1,https://pbs.twimg.com/media/FV_WdLwWIAIXjc7.jpg,,,,,,,[],,,,
1540185388253384704,1540185378111557633,2022-06-24 12:09:46 WITA,2022-06-24,12:09:46,+0800,80323736,ridwankamil,Ridwan Kamil,,Itulah kenapa Negara hadir. Menghadirkan fasilitas tempat bergaul dan berkumpul orang-orang kreatif dalam bentuk Creative Center seperti yang saya resmikan di Sumedang.  https://t.co/2Dmjmkhcoz,in,[],[],"['https://pbs.twimg.com/media/FV_WcjEXkAEcePV.jpg', 'https://pbs.twimg.com/media/FV_WcjlX0AESBpU.jpg']",5,14,397,[],[],https://twitter.com/ridwankamil/status/1540185388253384704,False,,1,https://pbs.twimg.com/media/FV_WcjEXkAEcePV.jpg,,,,,,,[],,,,
1540185378111557633,1540185378111557633,2022-06-24 12:09:44 WITA,2022-06-24,12:09:44,+0800,80323736,ridwankamil,Ridwan Kamil,,"MAU JADI ORANG KREATIF?  Bergaullah dengan orang-orang kreatif pasti terbawa kreatif. Mau jadi orang pintar optimis? bergaullah dengan mereka yang pintar optimis, pasti terbawa pintar dan optimis.  https://t.co/stSSaa79fW",in,[],[],[],32,113,1319,[],[],https://twitter.com/ridwankamil/status/1540185378111557633,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1540185287825002496/pu/img/KdB86U6IW8L7BnI5.jpg,,,,,,,[],,,,
1539922665875861505,1539922665875861505,2022-06-23 18:45:48 WITA,2022-06-23,18:45:48,+0800,80323736,ridwankamil,Ridwan Kamil,,"Turut berduka cita atas korban banjir bandang yang melanda Desa Cibunian, Kecamatan Pamijahan, Kabupaten Bogor pada Rabu 22 Juni 2022. Doa Jabar untuk seluruh korban banjir bandang, semoga senantiasa diberikan ketabahan dan kekuatan. Aamiin. #JabarJuara #IndonesiaJuara -admin-  https://t.co/5wi2MbFeOM",in,[],[],['https://pbs.twimg.com/media/FV7nf2KaMAUmkl-.jpg'],57,110,1505,"['jabarjuara', 'indonesiajuara']",[],https://twitter.com/ridwankamil/status/1539922665875861505,False,,1,https://pbs.twimg.com/media/FV7nf2KaMAUmkl-.jpg,,,,,,,[],,,,
1539565614787854336,1539565612049080321,2022-06-22 19:07:00 WITA,2022-06-22,19:07:00,+0800,80323736,ridwankamil,Ridwan Kamil,,"Insya Allah, Idul Qurban akan terselenggara dengan aman dan nyaman dan semua ternak sehat siap kurban akan ditandai keping kuning di kuping dengan barcode untuk menjadi data kesehatan ternak tersebut.  Hatur Nuhun.",in,[],[],[],12,17,416,[],[],https://twitter.com/ridwankamil/status/1539565614787854336,False,,0,,,,,,,,[],,,,
1539565612049080321,1539565612049080321,2022-06-22 19:07:00 WITA,2022-06-22,19:07:00,+0800,80323736,ridwankamil,Ridwan Kamil,,"Sapi divaksinasi untuk melawan penyakit mulut dan kuku yang menyerang ternak minggu ini mulai dilaksanakan di Jawa Barat.  Ternak yang sakit diobati, yang sehat divaksin sampai booster, seperti haknya cara kita melawan penyakit Covid untuk manusia.  https://t.co/ibyvie5VgE",in,[],[],[],34,67,1057,[],[],https://twitter.com/ridwankamil/status/1539565612049080321,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1539565540745814016/pu/img/hB4WjDSf56IU8cbK.jpg,,,,,,,[],,,,
1539527702189064192,1539527702189064192,2022-06-22 16:36:21 WITA,2022-06-22,16:36:21,+0800,80323736,ridwankamil,Ridwan Kamil,,"Hari ini melantik Kepengurusan Forum Kewaspadaan Dini Masyarakat (FKDM) Jabar Periode 2022-2025. Sukses dan selamat bertugas. Semoga FKDM menjadi organisasi yg sensitif, berpartisipasi menjaga juga memelihara kondusifitas di Jawa Barat. #JabarJuara #IndonesiaJuara -admin-  https://t.co/qkMy50ca9J",in,[],[],"['https://pbs.twimg.com/media/FV2AQ86aQAElPMu.jpg', 'https://pbs.twimg.com/media/FV2AQ8raAAEQXhI.jpg', 'https://pbs.twimg.com/media/FV2AQ8uaMAAHCZ1.jpg', 'https://pbs.twimg.com/media/FV2AQ8saUAApulp.jpg']",8,32,658,"['jabarjuara', 'indonesiajuara']",[],https://twitter.com/ridwankamil/status/1539527702189064192,False,,1,https://pbs.twimg.com/media/FV2AQ86aQAElPMu.jpg,,,,,,,[],,,,
1539261668198612992,1539261469816406016,2022-06-21 22:59:14 WITA,2022-06-21,22:59:14,+0800,80323736,ridwankamil,Ridwan Kamil,,Minggu ini kami memulai kembali hidup baru dengan semangat ananda Eril yang akan menyertai setiap langkah dan napas kami.  Sekali lagi beribu hatur nuhun kami haturkan.  *Makam Eril tetap terbuka untuk umum dari jam 8.00-17.00. Mohon menjaga adab saat berziarah.,in,[],[],[],16,62,1676,[],[],https://twitter.com/ridwankamil/status/1539261668198612992,False,,0,,,,,,,,[],,,,
1539261664255942656,1539261469816406016,2022-06-21 22:59:13 WITA,2022-06-21,22:59:13,+0800,80323736,ridwankamil,Ridwan Kamil,,"Dan kami haturkan terima kasih kepada semua pihak yang sudah mendoakan dan menyelenggarakan shalat gaib juga shalat jenazah, yang tidak bisa kami sebutkan satu persatu.  Semoga Allah membalas semua kebaikan bapak ibu dan saudara semuanya dengan ganjaran berlipat.",in,[],[],[],7,31,1362,[],[],https://twitter.com/ridwankamil/status/1539261664255942656,False,,0,,,,,,,,[],,,,
1539261660250386432,1539261469816406016,2022-06-21 22:59:12 WITA,2022-06-21,22:59:12,+0800,80323736,ridwankamil,Ridwan Kamil,,Kami haturkan terima kasih kepada semua pihak yang sudah mengirimkan ucapan bela sungkawa dan mengirim bunga duka cita yang tidak dapat kami sebutkan satu persatu.,in,[],[],[],3,26,999,[],[],https://twitter.com/ridwankamil/status/1539261660250386432,False,,0,,,,,,,,[],,,,
1539261654118313984,1539261469816406016,2022-06-21 22:59:11 WITA,2022-06-21,22:59:11,+0800,80323736,ridwankamil,Ridwan Kamil,,Kami ucapkan terima kasih kepada semua semua pihak yang sudah membantu pencarian sampai pemakaman Eril dari awal hingga akhir yang tidak bisa kami sebutkan satu persatu.  https://t.co/1Bj0dO1rMd,in,[],[],[],11,79,2043,[],[],https://twitter.com/ridwankamil/status/1539261654118313984,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1539261474170114049/pu/img/Ys5UHZV8olUaRmsI.jpg,,,,,,,[],,,,
1539261469816406016,1539261469816406016,2022-06-21 22:58:27 WITA,2022-06-21,22:58:27,+0800,80323736,ridwankamil,Ridwan Kamil,,"Bismillah, setelah 7 hari sejak Eril dimakamkan, dengan ini kami secara resmi menutup rangkaian kegiatan doa bersama dan takziah publik untuk almarhum ananda Eril.  https://t.co/XJlhvWV354",in,[],[],[],113,948,13028,[],[],https://twitter.com/ridwankamil/status/1539261469816406016,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1539261334503964674/pu/img/GRM7pludzk9yX_E1.jpg,,,,,,,[],,,,
